"index","unique_id","ds","cutoff","y","knn","mlp","enet","knn-lo-95","knn-hi-95","mlp-lo-95","mlp-hi-95","enet-lo-95","enet-hi-95"
"124","1","2024-11-29T04:00:00.000","2024-11-26T23:00:00.000","426643","449044.40625","516286.84375","458064.84375","436221.8625","461866.95","394692.09921875","637881.58828125","439914.309375","476215.378125"
"125","1","2024-11-29T05:00:00.000","2024-11-26T23:00:00.000","418229","431906","501114.3125","441349.125","415548.94921875","448263.05078125","378582.00390625","623646.62109375","419493.10859375","463205.14140625"
"126","1","2024-11-29T06:00:00.000","2024-11-26T23:00:00.000","410522","415392.8125","485469.34375","424752.5","396692.86640625","434092.75859375","358464.17890625","612474.50859375","399461.021875","450043.978125"
"127","1","2024-11-29T07:00:00.000","2024-11-26T23:00:00.000","403518","403294.1875","472094.9375","410844.65625","381379.25546875","425209.11953125","334947.07734375","609242.79765625","381614.11875","440075.19375"
"128","1","2024-11-29T08:00:00.000","2024-11-26T23:00:00.000","399188","391859.59375","463136.84375","401969.03125","366461.278125","417257.909375","313030.87265625","613242.81484375","370320.76796875","433617.29453125"
"129","1","2024-11-29T09:00:00.000","2024-11-26T23:00:00.000","399247","387403.8125","459990.8125","399534.5","360799.97421875","414007.65078125","297012.22578125","622969.39921875","369000.23984375","430068.76015625"
"130","1","2024-11-29T10:00:00.000","2024-11-26T23:00:00.000","402475","388607.1875","462795.21875","403519.46875","362685.021875","414529.353125","287082.3078125","638508.1296875","376382.925","430656.0125"
"131","1","2024-11-29T11:00:00.000","2024-11-26T23:00:00.000","409116","396310.59375","470602.96875","412575.75","375756.57265625","416864.61484375","283634.32421875","657571.61328125","390904.53046875","434246.96953125"
"132","1","2024-11-29T12:00:00.000","2024-11-26T23:00:00.000","422985","417441.40625","481573.09375","424531","406882.2421875","428000.5703125","283102.605859375","680043.581640625","407063.13046875","441998.86953125"
"133","1","2024-11-29T13:00:00.000","2024-11-26T23:00:00.000","438592","436478.8125","493620.28125","436997.59375","431314.96640625","441642.65859375","283086.097265625","704154.465234375","417749.1609375","456246.0265625"
"134","1","2024-11-29T14:00:00.000","2024-11-26T23:00:00.000","450150","452571.40625","504815.03125","447991.5625","443420.34140625","461722.47109375","291168.962109375","718461.100390625","429804.60859375","466178.51640625"
"135","1","2024-11-29T15:00:00.000","2024-11-26T23:00:00.000","456160","460734","513868.28125","456316.53125","448140.88203125","473327.11796875","303770.258984375","723966.303515625","437841.48828125","474791.57421875"
"136","1","2024-11-29T16:00:00.000","2024-11-26T23:00:00.000","457365","464983.8125","520415.53125","461662.125","446193.6390625","483773.9859375","314767.755859375","726063.306640625","445191.5609375","478132.6890625"
"137","1","2024-11-29T17:00:00.000","2024-11-26T23:00:00.000","456971","465763.8125","524915.0625","464510.46875","445501.23828125","486026.38671875","321801.652734375","728028.472265625","450505.66953125","478515.26796875"
"138","1","2024-11-29T18:00:00.000","2024-11-26T23:00:00.000","456379","467133.59375","528457.5625","465903.1875","447853.3203125","486413.8671875","328409.3671875","728505.7578125","453496.7296875","478309.6453125"
"139","1","2024-11-29T19:00:00.000","2024-11-26T23:00:00.000","452928","467427.59375","532269.75","467156.125","444223.1421875","490632.0453125","336085.418359375","728454.081640625","451575.03203125","482737.21796875"
