index,respondent,type,value,value-units,y
2019-01-14 22:00:00,US48,D,496757,megawatthours,496757.0
2019-01-14 23:00:00,US48,D,511667,megawatthours,511667.0
2019-01-15 00:00:00,US48,D,528582,megawatthours,528582.0
2019-01-15 01:00:00,US48,D,536054,megawatthours,536054.0
2019-01-15 02:00:00,US48,D,534913,megawatthours,534913.0
2019-01-15 03:00:00,US48,D,522772,megawatthours,522772.0
2019-01-15 04:00:00,US48,D,501181,megawatthours,501181.0
2019-01-15 05:00:00,US48,D,477737,megawatthours,477737.0
2019-01-15 06:00:00,US48,D,459004,megawatthours,459004.0
2019-01-15 07:00:00,US48,D,445758,megawatthours,445758.0
2019-01-15 08:00:00,US48,D,437338,megawatthours,437338.0
2019-01-15 09:00:00,US48,D,434647,megawatthours,434647.0
2019-01-15 10:00:00,US48,D,437454,megawatthours,437454.0
2019-01-15 11:00:00,US48,D,451800,megawatthours,451800.0
2019-01-15 12:00:00,US48,D,483387,megawatthours,483387.0
2019-01-15 13:00:00,US48,D,512585,megawatthours,512585.0
2019-01-15 14:00:00,US48,D,522916,megawatthours,522916.0
2019-01-15 15:00:00,US48,D,523495,megawatthours,523495.0
2019-01-15 16:00:00,US48,D,520145,megawatthours,520145.0
2019-01-15 17:00:00,US48,D,513461,megawatthours,513461.0
2019-01-15 18:00:00,US48,D,505242,megawatthours,505242.0
2019-01-15 19:00:00,US48,D,497210,megawatthours,497210.0
2019-01-15 20:00:00,US48,D,490111,megawatthours,490111.0
2019-01-15 21:00:00,US48,D,485507,megawatthours,485507.0
2019-01-15 22:00:00,US48,D,490087,megawatthours,490087.0
2019-01-15 23:00:00,US48,D,505755,megawatthours,505755.0
2019-01-16 00:00:00,US48,D,523988,megawatthours,523988.0
2019-01-16 01:00:00,US48,D,532778,megawatthours,532778.0
2019-01-16 02:00:00,US48,D,532759,megawatthours,532759.0
2019-01-16 03:00:00,US48,D,521463,megawatthours,521463.0
2019-01-16 04:00:00,US48,D,501143,megawatthours,501143.0
2019-01-16 05:00:00,US48,D,479421,megawatthours,479421.0
2019-01-16 06:00:00,US48,D,462050,megawatthours,462050.0
2019-01-16 07:00:00,US48,D,449758,megawatthours,449758.0
2019-01-16 08:00:00,US48,D,442923,megawatthours,442923.0
2019-01-16 09:00:00,US48,D,439775,megawatthours,439775.0
2019-01-16 10:00:00,US48,D,443266,megawatthours,443266.0
2019-01-16 11:00:00,US48,D,457709,megawatthours,457709.0
2019-01-16 12:00:00,US48,D,488814,megawatthours,488814.0
2019-01-16 13:00:00,US48,D,516943,megawatthours,516943.0
2019-01-16 14:00:00,US48,D,524511,megawatthours,524511.0
2019-01-16 15:00:00,US48,D,520332,megawatthours,520332.0
2019-01-16 16:00:00,US48,D,512068,megawatthours,512068.0
2019-01-16 17:00:00,US48,D,500070,megawatthours,500070.0
2019-01-16 18:00:00,US48,D,489349,megawatthours,489349.0
2019-01-16 19:00:00,US48,D,480983,megawatthours,480983.0
2019-01-16 20:00:00,US48,D,474442,megawatthours,474442.0
2019-01-16 21:00:00,US48,D,470255,megawatthours,470255.0
2019-01-16 22:00:00,US48,D,472948,megawatthours,472948.0
2019-01-16 23:00:00,US48,D,485983,megawatthours,485983.0
2019-01-17 00:00:00,US48,D,503093,megawatthours,503093.0
2019-01-17 01:00:00,US48,D,511619,megawatthours,511619.0
2019-01-17 02:00:00,US48,D,512419,megawatthours,512419.0
2019-01-17 03:00:00,US48,D,501426,megawatthours,501426.0
2019-01-17 04:00:00,US48,D,482164,megawatthours,482164.0
2019-01-17 05:00:00,US48,D,461177,megawatthours,461177.0
2019-01-17 06:00:00,US48,D,444025,megawatthours,444025.0
2019-01-17 07:00:00,US48,D,431703,megawatthours,431703.0
2019-01-17 08:00:00,US48,D,424526,megawatthours,424526.0
2019-01-17 09:00:00,US48,D,422031,megawatthours,422031.0
2019-01-17 10:00:00,US48,D,425864,megawatthours,425864.0
2019-01-17 11:00:00,US48,D,439777,megawatthours,439777.0
2019-01-17 12:00:00,US48,D,471726,megawatthours,471726.0
2019-01-17 13:00:00,US48,D,500661,megawatthours,500661.0
2019-01-17 14:00:00,US48,D,508759,megawatthours,508759.0
2019-01-17 15:00:00,US48,D,505443,megawatthours,505443.0
2019-01-17 16:00:00,US48,D,498912,megawatthours,498912.0
2019-01-17 17:00:00,US48,D,490323,megawatthours,490323.0
2019-01-17 18:00:00,US48,D,483298,megawatthours,483298.0
2019-01-17 19:00:00,US48,D,478668,megawatthours,478668.0
2019-01-17 20:00:00,US48,D,474421,megawatthours,474421.0
